voter,name,votes,first_vote,latest_vote,avg_weight,num_delegated,percentage_delegated,num_dao_votes,total_gitcoin_donations,dex_trades_l60d,nft_mints_l60d,nfts_sold_l60d,nfts_bought_l60d,num_proposals,voting_frequency_ratio
0xae17b8a025b0708e0869e1781cba4ffb1c2e9385,metamozg.eth,17,2023-02-12,2023-11-26,14.02,0.0,0.0,0,0.0,0,0,0,0,0,5.922055462768531e-05
0x7d653c6330d1b4ab90541ac5bc1c34f0b06776d5,<nil>,17,2023-02-18,2023-10-20,1.09,0.0,0.0,0,0.0,0,0,0,0,0,5.059064114095721e-05
0xbe12758c6618abc44f0bf2ef69779220463f5cca,koldun.eth,17,2023-02-14,2023-10-24,20.28,0.0,0.0,0,2.803900669499999,5,55,1,3,0,4.609951274378852e-05
0x23be2e6a3ac62325c9b4b8cd310cb5bf7a140561,<nil>,17,2023-02-16,2023-12-05,2.17,0.0,0.0,0,0.0,1,0,0,0,0,7.099947801110123e-05
0xbd48f383b021db319df023c0ba19646f57ae4178,panartem91.eth,17,2023-10-18,2024-08-24,48.73,113.58177618576416,1.2325751055447757e-06,0,0.0,7,92,0,0,0,0.0002798475897595
0xd6899008a6f6808be219812c16124359437894ce,valazhtom.eth,17,2023-02-14,2023-10-24,19.72,0.0,0.0,0,3.825485381375001,7,53,0,3,0,4.609951274378852e-05
0x0a6a6f3ffc0af086e3d4f20c7fb9faade5aab35d,260267.eth,17,2023-02-14,2023-12-03,7.17,0.0,0.0,0,0.0,2,11,0,0,0,0.0001225722629797
0xb3b0914414f1d9f919f775f98dfe90ee0dff3df3,<nil>,17,2023-02-19,2023-10-19,18.34,0.0,0.0,0,0.0,16,57,0,0,0,4.609951274378852e-05
0xbc46e17c3acbf1a46bedb46b7068248ae9489fc8,hivewithme.eth,17,2023-02-14,2024-03-02,397.96,1.0930510213430114,0.0,0,1.0214770760833334,0,0,0,0,0,0.0001159511365321
0xd495bc275501c8d7b71f2762e954b730b9874df1,<nil>,17,2023-05-19,2023-11-26,0.53,0.614689696272352,0.0,0,0.0,5,0,0,1,0,0.0001034171212568
0x1d7a8fea409241e319f3f49e98bca26ea37bc7d0,pacoan.eth,17,2023-02-14,2023-10-23,19.5,0.0,0.0,0,2.762496555,2,56,0,1,0,4.609951274378852e-05
0x88a8ccb9ef140a8bab9d3637578a28ba298e3652,<nil>,17,2023-04-29,2023-10-24,1.34,1.3428903730452348,0.0,0,0.0,0,58,0,0,0,8.392133556668593e-05
0xee7993afb647d6d1eb2c2da3124dc84f00658659,<nil>,17,2023-05-19,2023-11-26,0.76,0.9096287097551712,0.0,0,0.0,1,0,0,0,0,0.0001034171212568
0x86b39c772abd2f9d1774bbe8522dad3ffe86917b,<nil>,17,2023-05-19,2023-11-26,0.59,0.7661358672540819,0.0,0,0.0,3,0,0,0,0,0.0001034171212568
0xbd352b13ba946444cb4e3b906c0bb304604f3f6f,zkaiyana.eth,17,2023-02-12,2023-10-18,1.34,1.3794975564159535,0.0,0,8.426998667500005,4,96,0,0,0,5.357414448859792e-05
0xf4bc9c3173a91f3f581b67fdb7eec24afab7ffc5,tuhin033.eth,17,2023-02-12,2023-11-07,4.56,1.651669,0.0,0,5.9764020150000015,0,69,0,0,0,6.848282861088822e-05
0xf4776e767104d204e962d17e0c75154437c8aa50,<nil>,17,2023-04-29,2023-10-24,1.17,1.1711124238218638,0.0,0,0.0,0,63,0,0,0,0.000102044180747
0x9b62a7ed23e6e2822ee8045694ef0db9eb099cc7,garrycrypt0.eth,17,2023-02-11,2024-02-13,600.15,0.0,0.0,0,0.0,1,23,0,0,0,8.932556752480286e-05
0xb8a9eea4e29374124899c6a0fba2c6c444a84887,<nil>,17,2023-03-26,2024-06-18,12.63,200.11893088992844,2.1716653907554995e-06,0,0.0,0,1,0,0,0,0.0001585804202928
0x293f49b980988c19a2f9b07e32b542ff77529dd2,griffindogs.eth,17,2023-02-15,2023-10-24,12.05,0.0,0.0,0,0.0,4,86,1,1,0,5.413777905532921e-05
0xc9f325ef3900d56e3ddc7eedc82b7447a623e7af,777521.eth,17,2023-02-12,2023-11-14,261.61,0.0,0.0,0,2.2525608595,0,0,0,0,0,4.401221243703658e-05
0xf6db256d5626412b48088f5e3bb545013b65f3e8,44caliber.eth,17,2023-02-17,2023-11-05,13.37,0.0,0.0,0,0.0,4,0,0,0,0,6.877276280492305e-05
0x5efc4d342e04d9cc9631bee71e94be414112e36c,shaushi.eth,17,2023-02-15,2023-10-23,21.6,0.0,0.0,0,2.7354335758750006,4,55,0,1,0,5.413777905532921e-05
0x150e9c31870a99ce35e95c319474edc84ba93448,region42x.eth,17,2023-02-13,2023-10-14,3.58,0.0,0.0,3,0.0,4,2,0,0,0,4.609951274378852e-05
0xc5a1b762ffff67c09ac511c444f64d9904fce410,<nil>,17,2023-03-29,2024-04-15,111.18,204.4188444891145,2.2183275106512303e-06,0,0.0,0,0,0,0,0,0.0001487839171863
0xedb77f0ffd272a2480d0bf2dbf8c6ea7af0d17d3,enthusiast🌹.eth,17,2023-02-12,2024-08-24,2.12,0.0,0.0,0,0.0,6,302,0,0,0,0.000119185558306
0x78763f2c07749358dd7f015616f58d35c70c7870,myens2.eth,17,2023-02-11,2023-10-19,20.22,20.78788003156121,0.0,0,0.0,0,1,0,0,0,5.898179786604097e-05
0x587480d98483ecbd0130c34d4f65d0a9231795fe,<nil>,17,2023-03-27,2023-11-15,1.65,0.0,0.0,0,0.0,0,0,0,0,0,6.328496023293563e-05
0xacfea5dd8fb15d893fef331391c8df21df719603,evgeniyp.eth,17,2023-04-28,2023-11-13,12.71,0.0,0.0,3,0.0,1,145,0,2,0,6.222849622321183e-05
0x1876122c6b939bd35e7b163319b92f7c719f9e4c,<nil>,17,2023-05-19,2023-11-26,0.58,0.7601118364695593,0.0,0,0.0,3,0,0,0,0,0.0001034171212568
0x047b2fb9a98e45488eb7ff6ef9752303b196a5e7,<nil>,17,2023-05-19,2023-11-26,0.76,0.909868253738644,0.0,0,0.0,1,0,0,0,0,0.0001034171212568
0xf780f1e0729a6663eabed1c0e76df481216ee425,<nil>,17,2023-02-13,2023-10-19,8.65,8.88306687944306,0.0,0,0.0,0,0,0,0,0,5.185166251579263e-05
0xa5185a2a427b213ecd3831b76de7aa047031ba29,qurumi78.eth,17,2023-02-14,2023-10-23,0.59,0.0,0.0,0,2.4667346891250004,0,61,2,1,0,4.609951274378852e-05
0x87d76725e2b0a4d407b331fb935f2c6e854c7d72,hegll.eth,17,2023-02-12,2024-04-17,127.01,103.4488539794837,1.1226139121447333e-06,0,1.0590651749999995,1,3,0,0,0,0.0001446312937712
0x351d794c64d1201d1b814cf547cb940c1a3cc142,<nil>,17,2023-03-25,2024-06-17,12.98,197.4081070411134,2.142247872349186e-06,0,0.0,0,1,0,0,0,0.0001585804202928
0x4c4562d95fac224b91d3a042e210fc77319752c1,dadofthedead.eth,17,2023-02-15,2023-10-23,20.58,0.0,0.0,0,3.891316450875,5,55,0,1,0,5.413777905532921e-05
0xaa153d7c28c162e08aa08ab1d9f3a0f8ca21e687,region42xx.eth,17,2023-02-13,2023-10-14,3.05,0.0,0.0,2,0.0,2,1,0,0,0,4.609951274378852e-05
0x16336b88fba32a0a7cef0b6fac5210d5ae97da32,vavennefa18.eth,17,2023-02-15,2023-10-23,20.89,0.0,0.0,0,3.891316450875,4,56,0,1,0,5.413777905532921e-05
0x7c33165c8accc21ef922245f583ff93a17050ccf,<nil>,17,2023-05-19,2023-11-26,0.78,0.948643342029213,0.0,0,0.0,2,0,0,0,0,0.0001034171212568
0x11830721dc526884c6bf1ff8763f68755ec9550e,azaxsindrom.eth,17,2023-05-21,2024-08-25,2.8,1.3528537271422123,0.0,0,0.0,5,31,0,0,0,0.0002134211273401
0x6570f9dc370fb708de62465805a20283eb4ea284,<nil>,17,2023-05-26,2024-08-23,3.85,4.585955644690823,0.0,0,0.0,0,104,0,0,0,0.0002134211273401
0x1d33838a4622d3fdb8c99d619dad1cf4c3999d60,<nil>,17,2023-02-15,2023-12-05,1.2,0.0,0.0,0,0.0,0,0,0,0,0,0.0001242992344828
0x748c889e2e74f04464107237cd918e3486daaa58,r0bbingh00d.eth,17,2023-02-15,2023-10-24,20.57,0.0,0.0,0,1.2741305709999993,1,56,0,2,0,4.609951274378852e-05
0xe9930640f874f2cd76d779fceba2396579b74bbb,ligne.eth,17,2023-02-12,2024-04-17,129.71,102.73780098271772,1.1148976547311905e-06,0,0.0,0,4,0,0,0,0.0001446312937712
0x134a1fc52c13eb57da610595509aab389140fdd9,kurt97.eth,17,2023-03-26,2024-05-28,6952.17,7143.5161442555245,7.752053596226585e-05,0,0.0,0,6,0,30,0,0.0002866140382549
0xf9634699c3030eccad77027278be1ac4e007b7ff,<nil>,17,2023-02-18,2023-11-25,10.33,51.91405198290951,0.0,0,0.0,0,0,0,1,0,5.264400835851131e-05
